Start	End	Midpoint	Pi	S
32401	33000	35816	0.00965	31
32801	33400	36346	0.00957	28
33201	33800	36771	0.01033	35
33601	34200	37210	0.00651	20
34001	34600	37619	0.00337	12
34401	35000	38019	0.00111	5
34801	35400	38419	0.00111	5
35201	35800	38819	0.00152	6
35601	36200	39219	0.00481	11
36001	36600	39619	0.01386	27
36401	37000	40129	0.02075	44
36801	37400	40575	0.00838	26
37201	37800	41393	0.01084	28
37601	38200	41816	0.01019	29
38001	38600	42232	0.00702	26
38401	39000	42636	0.00521	15
38801	39400	43036	0.00422	11
39201	39800	43436	0.00314	7
39601	40200	43836	0.00197	8
40001	40600	44236	0.00586	17
40401	41000	44636	0.00332	11
40801	41400	45036	0.00108	4
41201	41800	45436	0.00311	11
41601	42200	45836	0.00200	9
42001	42600	46236	0.00349	12
42401	43000	46636	0.00375	11
42801	43400	47036	0.00559	17
43201	43800	47462	0.00803	25
43601	44200	47881	0.00884	23
44001	44600	48295	0.00762	23
44401	45000	48705	0.00437	17
44801	45400	49113	0.00557	22
45201	45800	49513	0.00571	22
45601	46200	49945	0.00819	27
46001	46600	50718	0.00559	22
46401	47000	51152	0.00651	20
46801	47400	51552	0.00560	15
47201	47800	51963	0.00579	16
47601	48200	52514	0.00886	27
48001	48600	52961	0.00621	23
48401	49000	53386	0.00446	14
48801	49400	53841	0.00783	28
49201	49800	54266	0.00806	25
49601	50200	54684	0.00870	23
50001	50600	55096	0.00394	14
50401	51000	55496	0.00516	16
50801	51400	55896	0.00267	8
51201	51800	56296	0.00476	14
51601	52200	56700	0.00992	24
52001	52600	57234	0.01263	37
52401	53000	57657	0.00702	26
52801	53400	58100	0.00681	19
53201	53800	58518	0.01435	39
53601	54200	58952	0.01279	38
54001	54600	59352	0.00602	16
54401	55000	59752	0.00462	11
54801	55400	60152	0.00248	9
55201	55800	60552	0.00479	16
55601	56200	60952	0.00759	26
56001	56600	61388	0.00667	23
56401	57000	61788	0.00663	16
56801	57400	62188	0.01184	22
57201	57800	62588	0.01219	27
57601	58200	62988	0.00792	23
58001	58600	63412	0.00576	25
58401	59000	63947	0.00968	26
58801	59400	64539	0.00929	24
59201	59800	64942	0.00456	13
59601	60200	65342	0.00473	18
60001	60600	65755	0.01502	41
60401	61000	66228	0.00997	25
60801	61400	66670	0.01076	25
61201	61800	67073	0.00575	18
61601	62200	67986	0.00752	27
62001	62600	68419	0.00584	21
62401	63000	68819	0.00365	13
62801	63400	69223	0.00457	15
63201	63800	69623	0.00905	25
63601	64200	70023	0.00562	18
64001	64600	70436	0.00435	17
64401	65000	70841	0.00324	12
64801	65400	71241	0.00665	19
65201	65800	71646	0.01476	42
65601	66200	72123	0.01902	51
66001	66600	72552	0.00941	27
66401	67000	72961	0.00457	19
66801	67400	73442	0.00765	22
67201	67800	73855	0.01138	30
67601	68200	74279	0.00776	23
68001	68600	74732	0.00840	26
68401	69000	75163	0.00514	21
68801	69400	75579	0.00495	18
69201	69800	75983	0.00829	21
69601	70200	76408	0.00673	17
70001	70600	76846	0.00483	17
70401	71000	77252	0.00667	23
70801	71400	77668	0.00552	18
71201	71800	78081	0.00889	25
71601	72200	78490	0.01417	39
72001	72600	78902	0.00892	28
72401	73000	79328	0.00667	16
72801	73400	79728	0.00422	11
73201	73800	80128	0.00492	12
73601	74200	80528	0.00340	10
74001	74600	80928	0.00448	14
74401	75000	81334	0.00222	10
74801	75400	81742	0.00646	17
75201	75800	82165	0.00944	26
75601	76200	82581	0.00600	19
76001	76600	82981	0.00417	10
76401	77000	83383	0.00225	8
76801	77400	83791	0.00749	26
77201	77800	84193	0.00514	18
77601	78200	84593	0.00649	17
78001	78600	85053	0.00644	20
78401	79000	85468	0.00503	14
78801	79400	85868	0.00708	23
79201	79800	86285	0.00900	30
79601	80200	86721	0.00641	22
80001	80600	87125	0.00686	20
80401	81000	87560	0.00794	24
80801	81400	87982	0.00859	24
81201	81800	88406	0.01278	33
81601	82200	88856	0.01506	39
82001	82600	89288	0.01441	39
82401	83000	89708	0.01114	40
82801	83400	90108	0.01289	39
83201	83800	90595	0.01535	39
83601	84200	91000	0.01395	37
84001	84600	91404	0.00213	7
84401	85000	91804	0.00111	5
84801	85400	92204	0.00213	8
85201	85800	92604	0.00102	3
85601	86200	93004	0.00092	2
86001	86600	93404	0.00022	1
86401	87000	93804	0.00181	4
86801	87400	94204	0.00022	1
87201	87800	94607	0.00044	2
87601	88200	95007	0.00079	2
88001	88600	95413	0.00159	5
88401	89000	95813	0.00022	1
88801	89400	96213	0.00044	2
89201	89800	96613	0.00067	3
89601	90200	97025	0.00200	4
90001	90600	97431	0.00295	9
90401	91000	97831	0.00133	6
90801	91400	98231	0.00022	1
91201	91800	98631	0.00022	1
91601	92200	99031	0.00079	2
92001	92600	99431	0.00057	1
92401	93000	99831	0.00102	3
92801	93400	100231	0.00295	6
93201	93800	100644	0.00197	6
93601	94200	101055	0.00546	11
94001	94600	101473	0.00479	8
94401	95000	101900	0.00270	10
94801	95400	102300	0.00070	1
95201	95800	102700	0.00057	1
95601	96200	103100	0.00044	2
96001	96600	103500	0.00044	2
96401	97000	103900	0.00022	1
96801	97400	104300	0.00067	3
97201	97800	104700	0.00079	2
97601	98200	105100	0.00102	3
98001	98600	105505	0.00044	2
98401	99000	105905	0.00089	4
98801	99400	106334	0.00146	5
99201	99800	106744	0.00333	10
99601	100200	107167	0.00390	13
100001	100600	107575	0.00044	2
100401	101000	107989	0.00022	1
100801	101400	108389	0.00000	0
101201	101800	108789	0.00000	0
101601	102200	109189	0.00000	0
102001	102600	109589	0.00044	2
102401	103000	109991	0.00190	6
102801	103400	110401	0.00089	4
103201	103800	110807	0.00000	0
103601	104200	111211	0.00000	0
104001	104600	111623	0.00044	2
104401	105000	112023	0.00022	1
104801	105400	112423	0.00000	0
105201	105800	112823	0.00022	1
105601	106200	113223	0.00022	1
106001	106600	113623	0.00022	1
106401	107000	114023	0.00067	3
106801	107400	114423	0.00000	0
107201	107800	114824	0.00022	1
107601	108200	115239	0.00194	5
108001	108600	115659	0.00305	10
108401	109000	116070	0.00568	12
108801	109400	116474	0.00422	7
109201	109800	116887	0.00044	2
109601	110200	117287	0.00108	4
110001	110600	118342	0.01195	40
110401	111000	118742	0.01768	47
110801	111400	119149	0.01275	37
111201	111800	119549	0.00737	23
111601	112200	119955	0.00619	21
112001	112600	120355	0.00876	31
112401	113000	120761	0.01854	53
112801	113400	121209	0.01857	54
113201	113800	121885	0.01703	42
113601	114200	122309	0.01925	53
114001	114600	122974	0.01551	46
114401	115000	123396	0.00829	32
114801	115400	123804	0.01349	40
115201	115800	124204	0.01927	48
115601	116200	124648	0.01667	43
116001	116600	125069	0.00683	19
116401	117000	125469	0.00895	23
116801	117400	125869	0.00857	23
117201	117800	126275	0.01354	37
117601	118200	126684	0.00568	19
118001	118600	127103	0.00868	23
118401	119000	127513	0.00808	22
118801	119400	127913	0.00810	27
119201	119800	128365	0.00829	23
119601	120200	128765	0.00392	11
120001	120600	129165	0.00648	17
120401	121000	129565	0.00724	16
120801	121400	129991	0.00959	29
121201	121800	130407	0.00730	25
121601	122200	130810	0.00486	16
122001	122600	131216	0.00622	16
122401	123000	131616	0.00524	12
122801	123400	132016	0.00346	11
123201	123800	132421	0.00489	16
123601	124200	132850	0.01448	45
124001	124600	133280	0.01410	45
124401	125000	133686	0.01056	34
124801	125400	134086	0.01265	38
125201	125800	134486	0.01089	37
125601	126200	134895	0.01419	45
126001	126600	135295	0.01789	51
126401	127000	135734	0.01651	44
126801	127400	136134	0.01144	34
127201	127800	136534	0.01484	41
127601	128200	136940	0.01973	46
128001	128600	137358	0.01573	48
128401	129000	137773	0.01019	32
128801	129400	138206	0.00086	3
129201	129800	138606	0.00067	3
129601	130200	139019	0.00454	9
130001	130600	139428	0.00622	15
130401	131000	139845	0.00295	8
130801	131400	140254	0.00194	5
131201	131800	140670	0.00022	1
131601	132200	141070	0.00022	1
132001	132600	141470	0.00067	3
132401	133000	141870	0.00022	1
132801	133400	142270	0.00022	1
133201	133800	142670	0.00022	1
133601	134200	143070	0.00000	0
134001	134600	143470	0.00022	1
134401	135000	143874	0.00044	2
134801	135400	144282	0.00000	0
135201	135800	144686	0.00000	0
135601	136200	145092	0.00168	5
136001	136600	145502	0.00168	5
136401	137000	145904	0.00044	2
136801	137400	146304	0.00000	0
137201	137800	146704	0.00000	0
137601	138200	147104	0.00000	0
138001	138600	147504	0.00022	1
138401	139000	147918	0.00114	3
138801	139400	148326	0.00413	14
139201	139800	148754	0.00314	10
139601	140200	149188	0.00190	7
140001	140600	149588	0.00089	4
140401	141000	149988	0.00022	1
140801	141400	150393	0.00102	3
141201	141800	150793	0.00079	2
141601	142200	151193	0.00067	3
142001	142600	151593	0.00022	1
142401	143000	151993	0.00067	3
142801	143400	152393	0.00102	3
143201	143800	152793	0.00057	1
143601	144200	153193	0.00070	1
144001	144600	153600	0.00270	10
144401	145000	154020	0.00479	8
144801	145400	154438	0.00546	11
145201	145800	154849	0.00219	7
145601	146200	155262	0.00295	6
146001	146600	155662	0.00102	3
146401	147000	156062	0.00057	1
146801	147400	156462	0.00079	2
147201	147800	156862	0.00022	1
147601	148200	157262	0.00022	1
148001	148600	157662	0.00133	6
148401	149000	158062	0.00251	7
148801	149400	158468	0.00200	4
149201	149800	158880	0.00067	3
149601	150200	159280	0.00022	1
150001	150600	159680	0.00137	4
150401	151000	160080	0.00159	5
150801	151400	160486	0.00079	2
151201	151800	160886	0.00044	2
151601	152200	161289	0.00102	2
152001	152600	161689	0.00181	4
152401	153000	162089	0.00022	1
152801	153400	162489	0.00114	3
153201	153800	162889	0.00102	3
153601	154200	163289	0.00213	8
154001	154600	163689	0.00089	4
