Start	End	Midpoint	Pi	S
26401	27000	26870	0.00000	0
26801	27400	27270	0.00056	1
27201	27800	27670	0.00167	3
27601	28200	28070	0.00222	4
28001	28600	28472	0.00056	1
28401	29000	28872	0.00000	0
28801	29400	29272	0.00111	2
29201	29800	29672	0.00111	2
29601	30200	30072	0.00278	5
30001	30600	30487	0.00556	10
30401	31000	30887	0.00333	6
30801	31400	31294	0.00111	2
31201	31800	31712	0.00167	3
31601	32200	32112	0.00111	2
32001	32600	32514	0.00056	1
32401	33000	32914	0.00111	2
32801	33400	33314	0.00056	1
33201	33800	33714	0.00000	0
33601	34200	34114	0.00056	1
34001	34600	34514	0.00222	4
34401	35000	34914	0.00111	2
34801	35400	35324	0.00056	1
35201	35800	35724	0.00111	2
35601	36200	36128	0.00111	2
36001	36600	36540	0.00000	0
36401	37000	36940	0.00000	0
36801	37400	37340	0.00000	0
37201	37800	37740	0.00000	0
37601	38200	38140	0.00056	1
38001	38600	38540	0.00000	0
38401	39000	38940	0.00000	0
38801	39400	39340	0.00000	0
39201	39800	39740	0.00056	1
39601	40200	40140	0.00056	1
40001	40600	40540	0.00056	1
40401	41000	40940	0.00000	0
40801	41400	41340	0.00000	0
41201	41800	41740	0.00056	1
41601	42200	42156	0.00111	2
42001	42600	42561	0.00111	2
42401	43000	42961	0.00111	2
42801	43400	43366	0.00111	2
43201	43800	43766	0.00000	0
43601	44200	44166	0.00056	1
44001	44600	44568	0.00111	2
44401	45000	44968	0.00278	5
44801	45400	45368	0.00222	4
45201	45800	45768	0.00278	5
45601	46200	46168	0.00111	2
46001	46600	46570	0.00444	8
46401	47000	46989	0.00500	9
46801	47400	47389	0.00278	5
47201	47800	47789	0.00222	4
47601	48200	48192	0.00111	2
48001	48600	48592	0.00167	3
48401	49000	48993	0.00000	0
48801	49400	49393	0.00000	0
49201	49800	49793	0.00000	0
49601	50200	50194	0.00111	2
50001	50600	50594	0.00211	3
50401	51000	51979	0.00278	5
50801	51400	52379	0.00311	5
51201	51800	52779	0.00144	2
51601	52200	53179	0.00000	0
52001	52600	53579	0.00000	0
52401	53000	53979	0.00111	2
52801	53400	54379	0.00056	1
53201	53800	54787	0.00000	0
53601	54200	55210	0.00056	1
54001	54600	55610	0.00056	1
54401	55000	56010	0.00056	1
54801	55400	56410	0.00111	2
55201	55800	56810	0.00111	2
55601	56200	57210	0.00056	1
56001	56600	57611	0.00111	2
56401	57000	58011	0.00167	3
56801	57400	58411	0.00111	2
57201	57800	58811	0.00111	2
57601	58200	59217	0.00111	2
58001	58600	59617	0.00222	4
58401	59000	60019	0.00111	2
58801	59400	60419	0.00111	2
59201	59800	60824	0.00222	4
59601	60200	61224	0.00389	7
60001	60600	61625	0.00111	2
60401	61000	62025	0.00056	1
60801	61400	62425	0.00000	0
61201	61800	62825	0.00000	0
61601	62200	63225	0.00000	0
62001	62600	63630	0.00111	2
62401	63000	64031	0.00211	3
62801	63400	64431	0.00000	0
63201	63800	64831	0.00000	0
63601	64200	65231	0.00111	2
64001	64600	65631	0.00400	6
64401	65000	66036	0.00400	6
64801	65400	66436	0.00056	1
65201	65800	66836	0.00056	1
65601	66200	67236	0.00000	0
66001	66600	67636	0.00056	1
66401	67000	68036	0.00056	1
66801	67400	68442	0.00200	3
67201	67800	68842	0.00233	3
67601	68200	69242	0.00200	3
68001	68600	69642	0.00222	4
68401	69000	70042	0.00111	2
68801	69400	70442	0.00000	0
69201	69800	70842	0.00222	4
69601	70200	71244	0.00000	0
70001	70600	71656	0.00000	0
70401	71000	72059	0.00167	3
70801	71400	72459	0.00167	3
71201	71800	72859	0.00056	1
71601	72200	73259	0.00000	0
72001	72600	73659	0.00000	0
72401	73000	74059	0.00144	2
72801	73400	74460	0.00144	2
73201	73800	74860	0.00111	2
73601	74200	75260	0.00333	6
74001	74600	75672	0.00111	2
74401	75000	76072	0.00000	0
74801	75400	76472	0.00000	0
75201	75800	76872	0.00056	1
75601	76200	77272	0.00167	3
76001	76600	77672	0.00056	1
76401	77000	78072	0.00056	1
76801	77400	78473	0.00056	1
77201	77800	78873	0.00111	2
77601	78200	79273	0.00056	1
78001	78600	79673	0.00111	2
78401	79000	80073	0.00200	3
78801	79400	80473	0.00056	1
79201	79800	80873	0.00056	1
79601	80200	81285	0.00056	1
80001	80600	81685	0.00167	3
80401	81000	82085	0.00167	3
80801	81400	82495	0.00111	2
81201	81800	82907	0.00222	4
81601	82200	83313	0.00111	2
82001	82600	83713	0.00111	2
82401	83000	84113	0.00656	10
82801	83400	84518	0.00544	8
83201	83800	84918	0.00000	0
83601	84200	85318	0.00056	1
84001	84600	85718	0.00056	1
84401	85000	86118	0.00000	0
84801	85400	86518	0.00000	0
85201	85800	86918	0.00000	0
85601	86200	87318	0.00000	0
86001	86600	87718	0.00000	0
86401	87000	88118	0.00000	0
86801	87400	88518	0.00056	1
87201	87800	88918	0.00056	1
87601	88200	89318	0.00111	2
88001	88600	89718	0.00056	1
88401	89000	90118	0.00000	0
88801	89400	90518	0.00056	1
89201	89800	90918	0.00000	0
89601	90200	91318	0.00000	0
90001	90600	91718	0.00000	0
90401	91000	92118	0.00056	1
90801	91400	92518	0.00056	1
91201	91800	92918	0.00056	1
91601	92200	93318	0.00000	0
92001	92600	93718	0.00000	0
92401	93000	94118	0.00000	0
92801	93400	94524	0.00000	0
93201	93800	94924	0.00000	0
93601	94200	95324	0.00000	0
94001	94600	95724	0.00000	0
94401	95000	96124	0.00000	0
94801	95400	96524	0.00000	0
95201	95800	96924	0.00000	0
95601	96200	97324	0.00000	0
96001	96600	97724	0.00056	1
96401	97000	98124	0.00056	1
96801	97400	98524	0.00000	0
97201	97800	98930	0.00000	0
97601	98200	99330	0.00167	3
98001	98600	99730	0.00111	2
98401	99000	100130	0.00056	1
98801	99400	100530	0.00000	0
99201	99800	100930	0.00000	0
99601	100200	101330	0.00000	0
100001	100600	101730	0.00000	0
100401	101000	102130	0.00000	0
100801	101400	102530	0.00000	0
101201	101800	102931	0.00089	1
101601	102200	103331	0.00000	0
102001	102600	103731	0.00000	0
102401	103000	104131	0.00056	1
102801	103400	104531	0.00056	1
103201	103800	104931	0.00000	0
103601	104200	105331	0.00000	0
104001	104600	105731	0.00000	0
104401	105000	106131	0.00000	0
104801	105400	106531	0.00000	0
105201	105800	106931	0.00000	0
105601	106200	107331	0.00000	0
106001	106600	107731	0.00056	1
106401	107000	108132	0.00111	2
106801	107400	108532	0.00056	1
107201	107800	108932	0.00000	0
107601	108200	109332	0.00056	1
108001	108600	109732	0.00278	5
108401	109000	110150	0.00256	4
108801	109400	110550	0.00367	6
109201	109800	110950	0.00144	2
109601	110200	111350	0.00144	2
110001	110600	111750	0.00222	4
110401	111000	112159	0.00278	5
110801	111400	112559	0.00056	1
111201	111800	112959	0.00333	6
111601	112200	113359	0.00278	5
112001	112600	113825	0.00200	3
112401	113000	114225	0.00111	2
112801	113400	114625	0.00222	4
113201	113800	115025	0.00000	0
113601	114200	115425	0.00144	2
114001	114600	115825	0.00200	3
114401	115000	116225	0.00056	1
114801	115400	116625	0.00000	0
115201	115800	117025	0.00111	2
115601	116200	117427	0.00167	3
116001	116600	117827	0.00333	6
116401	117000	118227	0.00278	5
116801	117400	118627	0.00222	4
117201	117800	119027	0.00222	4
117601	118200	119427	0.00333	6
118001	118600	119827	0.00000	0
118401	119000	120228	0.00000	0
118801	119400	120628	0.00000	0
119201	119800	121028	0.00111	2
119601	120200	121434	0.00167	3
120001	120600	121834	0.00111	2
120401	121000	122234	0.00056	1
120801	121400	122634	0.00056	1
121201	121800	123034	0.00422	7
121601	122200	123434	0.00200	3
122001	122600	123834	0.00167	3
122401	123000	124241	0.00278	5
122801	123400	124659	0.00311	5
123201	123800	125065	0.00311	5
123601	124200	125469	0.00422	7
124001	124600	125873	0.00222	4
124401	125000	126294	0.00167	3
124801	125400	126694	0.00111	2
125201	125800	127094	0.00111	2
125601	126200	127494	0.00000	0
126001	126600	127894	0.00056	1
126401	127000	128294	0.00222	4
126801	127400	128694	0.00111	2
127201	127800	129094	0.00000	0
127601	128200	129494	0.00056	1
128001	128600	129894	0.00111	2
128401	129000	130295	0.00056	1
128801	129400	130695	0.00000	0
129201	129800	131095	0.00000	0
129601	130200	131495	0.00000	0
130001	130600	131895	0.00000	0
130401	131000	132295	0.00000	0
130801	131400	132695	0.00000	0
131201	131800	133095	0.00000	0
131601	132200	133495	0.00056	1
132001	132600	133895	0.00056	1
132401	133000	134295	0.00000	0
132801	133400	134695	0.00000	0
133201	133800	135095	0.00089	1
133601	134200	135496	0.00000	0
134001	134600	135896	0.00000	0
134401	135000	136296	0.00000	0
134801	135400	136696	0.00000	0
135201	135800	137096	0.00000	0
135601	136200	137496	0.00000	0
136001	136600	137896	0.00056	1
136401	137000	138296	0.00111	2
136801	137400	138696	0.00167	3
137201	137800	139096	0.00000	0
137601	138200	139502	0.00000	0
138001	138600	139902	0.00000	0
138401	139000	140302	0.00056	1
138801	139400	140702	0.00000	0
139201	139800	141102	0.00000	0
139601	140200	141502	0.00000	0
140001	140600	141902	0.00000	0
140401	141000	142302	0.00000	0
140801	141400	142702	0.00000	0
141201	141800	143102	0.00000	0
141601	142200	143502	0.00000	0
142001	142600	143908	0.00000	0
142401	143000	144308	0.00000	0
142801	143400	144708	0.00000	0
143201	143800	145108	0.00056	1
143601	144200	145508	0.00000	0
144001	144600	145908	0.00056	1
144401	145000	146308	0.00000	0
144801	145400	146708	0.00000	0
145201	145800	147108	0.00000	0
145601	146200	147508	0.00056	1
146001	146600	147908	0.00000	0
146401	147000	148308	0.00056	1
146801	147400	148708	0.00056	1
147201	147800	149108	0.00056	1
147601	148200	149508	0.00056	1
148001	148600	149908	0.00056	1
148401	149000	150308	0.00000	0
148801	149400	150708	0.00000	0
149201	149800	151108	0.00000	0
149601	150200	151508	0.00000	0
150001	150600	151908	0.00000	0
150401	151000	152308	0.00000	0
150801	151400	152708	0.00056	1
151201	151800	153108	0.00000	0
